1000 1 .00010029850000000000
1000 2 .00009479850000000000
1000 4 .00043265350000000000
1000 8 .00382398700000000000
1000 16 .00073083450000000000
1000 32 .00180240350000000000
1000 64 .00178285100000000000
10000 1 .00031864500000000000
10000 2 .00072625750000000000
10000 4 .00014136000000000000
10000 8 .00028794150000000000
10000 16 .00329055650000000000
10000 32 .00072646150000000000
10000 64 .00155082900000000000
100000 1 .00125088400000000000
100000 2 .00063023950000000000
100000 4 .00065736050000000000
100000 8 .00057385000000000000
100000 16 .00063011350000000000
100000 32 .00147782300000000000
100000 64 .00162066350000000000
1000000 1 .00965822450000000000
1000000 2 .00398338900000000000
1000000 4 .00434871850000000000
1000000 8 .00461016150000000000
1000000 16 .00299483450000000000
1000000 32 .00334248300000000000
1000000 64 .00453617550000000000
